DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241405558,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,1920,14,Pacific,1499,1,330,BURGLARY FROM VEHICLE,1822 0358 1300 0344,34,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,330,,,,11500    AVIATION                     BL,,33.93,-118.3784
241505727,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1130,15,N Hollywood,1555,2,354,THEFT OF IDENTITY,1822 0344 0923,37,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11000    HUSTON                       ST,,34.1601,-118.3704
241207594,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0900,12,77th Street,1213,1,520,VEHICLE - ATTEMPT STOLEN,1822 0329 1307 1609 0358,24,M,H,101,STREET,,,IC,Invest Cont,520,,,,1600 W  58TH                         ST,,33.9897,-118.3045
241704070,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2000,17,Devonshire,1785,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,48,F,H,101,STREET,,,IC,Invest Cont,420,,,,9000    YOLANDA                      AV,,34.234,-118.5402
241407067,03/07/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0340,14,Pacific,1424,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,71,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,3200    GRAND VIEW                   BL,,34.0163,-118.4415
241600502,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0230,16,Foothill,1641,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0400 2000 1814 0411 0913,30,M,H,501,SINGLE FAMILY DWELLING,204,FOLDING KNIFE,AA,Adult Arrest,236,,,,10200    HADDON                       AV,,34.2545,-118.4272
241004066,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1410,10,West Valley,1033,2,624,BATTERY - SIMPLE ASSAULT,0448 0561 0913 0421 0602 0400,63,F,O,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,624,930,,,6400    RESEDA                       BL,,34.1847,-118.5441
240304962,01/16/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1130,03,Southwest,0328,1,480,BIKE - STOLEN,0344,0,,,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,480,,,,2900 S  FIGUEROA                     ST,,34.0268,-118.2808
242005417,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,2000,20,Olympic,2001,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5100    CLINTON                      ST,,34.0817,-118.3135
240305902,02/02/2024 12:00:00 AM,01/26/2024 12:00:00 AM,1525,03,Southwest,0314,2,354,THEFT OF IDENTITY,0100 0930 1202 1822,68,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2500    3RD                          AV,,34.0344,-118.32
240806459,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2010,08,West LA,0816,1,330,BURGLARY FROM VEHICLE,1822 0344 1300,21,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,400    KELTON                       AV,,34.0704,-118.4539
240706715,03/05/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0023,07,Wilshire,0753,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1100 S  SPAULDING                    AV,,34.0561,-118.3601
241505710,02/03/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1508,15,N Hollywood,1525,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,29,F,W,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,6100    LAUREL CANYON                BL,,34.1814,-118.3965
241006256,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1700,10,West Valley,1039,1,330,BURGLARY FROM VEHICLE,0358 1822 0344 0329 1300,31,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,6700    WOODLEY                      AV,,34.1924,-118.4837
241006219,03/02/2024 12:00:00 AM,01/09/2024 12:00:00 AM,0900,10,West Valley,1008,1,330,BURGLARY FROM VEHICLE,1300 1307 1609 0352 1822 0344,31,M,W,151,TOW YARD*,,,IC,Invest Cont,330,,,,16100    STAGG                        ST,,34.2128,-118.4837
241706589,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1900,17,Devonshire,1745,1,330,BURGLARY FROM VEHICLE,1609 0216 0209 0930 0344,41,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,10600    LINDLEY                      AV,,34.2627,-118.5273
241405458,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1740,14,Pacific,1435,2,946,OTHER MISCELLANEOUS CRIME,,47,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,3500    GRAND VIEW                   BL,,34.0118,-118.4365
240106903,02/10/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1700,01,Central,0118,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1100 N  MAIN                         ST,,34.0633,-118.2336
241705353,02/02/2024 12:00:00 AM,01/22/2024 12:00:00 AM,0940,17,Devonshire,1729,2,900,VIOLATION OF COURT ORDER,1906 2038 1814 2000 0913,24,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900,,,,17100    SIMONDS                      ST,,34.2764,-118.5049
241304148,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,13,Newton,1331,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,24,F,W,101,STREET,,,IC,Invest Cont,440,,,,31ST                         ST,BROADWAY,34.0214,-118.2723
241406825,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1900,14,Pacific,1431,1,310,BURGLARY,1606 0344,44,M,W,108,PARKING LOT,,,IC,Invest Cont,310,522,,,500    GRAND                        BL,,33.9883,-118.4673
241106322,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1700,11,Northeast,1123,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3600    EDENHURST                    AV,,34.118,-118.2611
240705793,02/10/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0001,07,Wilshire,0743,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,46,M,W,101,STREET,,,IC,Invest Cont,331,,,,1000 S  SIERRA BONITA                AV,,34.0574,-118.356
241507022,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1630,15,N Hollywood,1524,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,0,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,12100    VICTORY                      BL,,34.1867,-118.3965
241706529,03/02/2024 12:00:00 AM,02/29/2024 12:00:00 AM,1600,17,Devonshire,1756,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10200    ALDEA                        AV,,34.2553,-118.5089
241805601,02/02/2024 12:00:00 AM,01/07/2024 12:00:00 AM,0840,18,Southeast,1821,2,354,THEFT OF IDENTITY,0100 1822,30,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,500 W  95TH                         ST,,33.9501,-118.2827
